Joke Number,Text
27,? '' `` Baptist . '' `` Go
27,Baptist . '' `` Go to room 18
27,"`` Go to room 18 , but be"
27,"room 18 , but be very quiet as"
27,but be very quiet as you pass room
27,quiet as you pass room 8 . ''
27,pass room 8 . '' A third man
27,. '' A third man arrives at the
27,third man arrives at the gates . ``
27,at the gates . `` Religion ? ''
27,. `` Religion ? '' `` Jewish .
27,? '' `` Jewish . '' `` Go
27,Jewish . '' `` Go to room 11
27,"`` Go to room 11 , but be"
27,"room 11 , but be very quiet as"
27,but be very quiet as you pass room
27,quiet as you pass room 8 . ''
27,pass room 8 . '' The man says
27,". '' The man says , `` I"
27,"man says , `` I can understand there"
27,`` I can understand there being different rooms
27,understand there being different rooms for different religions
27,"different rooms for different religions , but why"
27,"different religions , but why must I be"
27,but why must I be quiet when I
27,I be quiet when I pass room 8
27,when I pass room 8 ? '' St.
27,room 8 ? '' St. Peter tells him
27,"'' St. Peter tells him , `` Well"
27,"tells him , `` Well the Catholics are"
27,`` Well the Catholics are in room 8
27,"Catholics are in room 8 , and they"
27,"room 8 , and they think they 're"
27,and they think they 're the only ones
28,What do you call an American in the
28,call an American in the finals of the
28,in the finals of the world cup ?
28,of the world cup ? `` Hey Beer
28,cup ? `` Hey Beer Man ! ''
29,Out in the backwoods of some midwestern state
29,"backwoods of some midwestern state , little Johnny"
29,"midwestern state , little Johnny arrives at school"
29,little Johnny arrives at school an hour late
29,at school an hour late . Teacher :
29,hour late . Teacher : `` Why are
29,Teacher : `` Why are you so late
29,"Why are you so late , John ?"
29,"so late , John ? '' Johny :"
29,John ? '' Johny : `` My big
29,Johny : `` My big brother got shot
29,My big brother got shot in the ass
29,got shot in the ass . '' (
29,the ass . '' ( the teacher corrects
29,'' ( the teacher corrects his speech )
29,teacher corrects his speech ) Teacher : ``
29,speech ) Teacher : `` Rectum . ''
29,: `` Rectum . '' Johnny : ``
29,. '' Johnny : `` Wrecked him !
29,": `` Wrecked him ! ? Hell ,"
29,"him ! ? Hell , It damn near"
29,"Hell , It damn near killed him !"
30,An explorer in the deepest Amazon suddenly finds
30,the deepest Amazon suddenly finds himself surrounded by
30,suddenly finds himself surrounded by a bloodthirsty group
30,surrounded by a bloodthirsty group of natives .
30,bloodthirsty group of natives . Upon surveying the
30,"natives . Upon surveying the situation , he"
30,"surveying the situation , he says quietly to"
30,", he says quietly to himself , ``"
30,"quietly to himself , `` Oh God ,"
30,", `` Oh God , I 'm screwed"
30,"God , I 'm screwed . '' The"
30,'m screwed . '' The sky darkens and
30,'' The sky darkens and a voice booms
30,"darkens and a voice booms out , ``"
30,"voice booms out , `` No , you"
30,", `` No , you are NOT screwed"
30,", you are NOT screwed . Pick up"
30,NOT screwed . Pick up that stone at
30,Pick up that stone at your feet and
30,stone at your feet and bash in the
30,feet and bash in the head of the
30,in the head of the chief standing in
30,of the chief standing in front of you
30,standing in front of you . '' So
30,of you . '' So with the stone
30,'' So with the stone he bashes the
30,the stone he bashes the life out of
30,bashes the life out of the chief .
30,out of the chief . Standing above the
30,"chief . Standing above the lifeless body ,"
30,"above the lifeless body , breathing heavily looking"
30,"body , breathing heavily looking at 100 angry"
30,heavily looking at 100 angry natives ... The
30,100 angry natives ... The voice booms out
30,"... The voice booms out again , ``"
30,"booms out again , `` Okay ..... NOW"
30,", `` Okay ..... NOW you 're screwed"
31,"A guy walks into a bar , orders"
31,"into a bar , orders a beer and"
31,", orders a beer and says to the"
31,"beer and says to the bartender , ``"
31,"to the bartender , `` Hey , I"
31,", `` Hey , I got this great"
31,", I got this great Polish Joke ..."
31,this great Polish Joke ... '' The barkeep
31,Joke ... '' The barkeep glares at him
31,The barkeep glares at him and says in
31,at him and says in a warning tone
31,says in a warning tone of voice :
31,warning tone of voice : `` Before you
31,voice : `` Before you go telling that
31,Before you go telling that joke you better
31,telling that joke you better know that I
31,"you better know that I 'm Polish ,"
31,"that I 'm Polish , both bouncers are"
31,"Polish , both bouncers are Polish and so"
31,bouncers are Polish and so are most of
31,and so are most of my customers ''
31,most of my customers '' `` Okay ''
31,customers '' `` Okay '' says the customer
31,"Okay '' says the customer , '' I"
31,"the customer , '' I 'll tell it"
31,'' I 'll tell it very slowly .
32,A Jewish young man was seeing a psychiatrist
32,man was seeing a psychiatrist for an eating
32,a psychiatrist for an eating and sleeping disorder
32,an eating and sleeping disorder . `` I
32,sleeping disorder . `` I am so obsessed
32,`` I am so obsessed with my mother
32,so obsessed with my mother ... As soon
32,my mother ... As soon as I go
32,"As soon as I go to sleep ,"
32,"I go to sleep , I start dreaming"
32,"sleep , I start dreaming , and everyone"
32,"start dreaming , and everyone in my dream"
32,and everyone in my dream turns into my
32,my dream turns into my mother . I
32,into my mother . I wake up in
32,. I wake up in such a state
32,"up in such a state , all I"
32,"a state , all I can do is"
32,all I can do is go downstairs and
32,do is go downstairs and eat a piece
32,downstairs and eat a piece of toast .
32,a piece of toast . '' The psychiatrist
32,toast . '' The psychiatrist replies : ``
32,"The psychiatrist replies : `` What , just"
32,": `` What , just one piece of"
32,", just one piece of toast , for"
32,"piece of toast , for a big boy"
32,", for a big boy like you ?"
33,`` May I take your order ? ''
33,take your order ? '' the waiter asked
33,? '' the waiter asked . `` Yes
33,"waiter asked . `` Yes , how do"
33,"`` Yes , how do you prepare your"
33,how do you prepare your chickens ? ''
33,prepare your chickens ? '' `` Nothing special
33,"? '' `` Nothing special sir , ''"
33,"Nothing special sir , '' he replied ."
33,", '' he replied . `` We just"
33,replied . `` We just tell them straight
33,We just tell them straight out that they
33,them straight out that they 're going to
33,that they 're going to die . ''
34,What is the difference between men and women
34,difference between men and women : A woman
34,and women : A woman wants one man
34,A woman wants one man to satisfy her
34,one man to satisfy her every need .
34,satisfy her every need . A man wants
34,need . A man wants every woman to
34,man wants every woman to satisfy his one
35,Q . What 's the difference between a
35,'s the difference between a man and a
35,between a man and a toilet ? A
35,and a toilet ? A . A toilet
35,? A . A toilet does n't follow
35,A toilet does n't follow you around after
35,n't follow you around after you use it
36,How many Irishmen does it take to change
36,does it take to change a lightbulb ?
36,"to change a lightbulb ? Two , one"
36,"lightbulb ? Two , one to hold the"
36,", one to hold the lightbulb and the"
36,hold the lightbulb and the other to drink
36,and the other to drink until the room
37,What does an atheist say during an orgasm
37,atheist say during an orgasm ? `` Oh
37,an orgasm ? `` Oh Darwin ! Oh
37,`` Oh Darwin ! Oh Darwin ! ...
38,Two men are discussing the age old question
38,discussing the age old question : who enjoys
38,"old question : who enjoys sex more ,"
38,"who enjoys sex more , the man or"
38,"more , the man or the woman ?"
38,man or the woman ? A woman walks
38,woman ? A woman walks by and listens
38,woman walks by and listens in for awhile
38,and listens in for awhile and then interrupts
38,for awhile and then interrupts : `` Listen
38,then interrupts : `` Listen you guys .
38,`` Listen you guys . You know when
38,guys . You know when your ear itches
38,know when your ear itches and you put
38,ear itches and you put in your little
38,you put in your little finger and wiggle
38,your little finger and wiggle it around for
38,and wiggle it around for awhile ? Afterward
38,"around for awhile ? Afterward , which feels"
38,"? Afterward , which feels better , your"
38,"which feels better , your finger or your"
38,", your finger or your ear ? ''"
39,Arnold Swartzeneger and Sylvester Stallone are making a
39,Sylvester Stallone are making a movie about the
39,making a movie about the lives of the
39,about the lives of the great composers .
39,of the great composers . Stallone says ``
39,composers . Stallone says `` I want to
39,says `` I want to be Mozart .
39,want to be Mozart . '' Swartzeneger says
39,Mozart . '' Swartzeneger says : `` In
39,Swartzeneger says : `` In that case ...
39,`` In that case ... I 'll be
39,case ... I 'll be Bach . ''
40,A horse walks into a bar . Bartender
40,into a bar . Bartender says : ``
40,". Bartender says : `` So , why"
40,": `` So , why the long face"
41,A boy comes home from school and tells
41,home from school and tells his mother that
41,and tells his mother that he got a
41,mother that he got a part in the
41,got a part in the school play .
41,in the school play . `` What part
41,play . `` What part ? '' the
41,What part ? '' the mother asked .
41,'' the mother asked . `` I play
41,asked . `` I play a Jewish husband
41,"I play a Jewish husband , '' the"
41,"Jewish husband , '' the boy replied ."
41,'' the boy replied . `` Go back
41,replied . `` Go back to school and
41,Go back to school and tell your teacher
41,school and tell your teacher that you want
41,your teacher that you want a speaking role
42,A couple has been married for 75 years
42,been married for 75 years . For the
42,75 years . For the husband 's 95th
42,"For the husband 's 95th birthday , his"
42,"'s 95th birthday , his wife decides to"
42,", his wife decides to surprise him by"
42,decides to surprise him by hiring a prostitute
42,him by hiring a prostitute . That day
42,"a prostitute . That day , the doorbell"
42,"That day , the doorbell rings . The"
42,the doorbell rings . The husband uses his
42,. The husband uses his walker to get
42,uses his walker to get to the door
42,to get to the door and opens it
42,the door and opens it . A 21-year-old
42,opens it . A 21-year-old in a latex
42,A 21-year-old in a latex outfit smiles and
42,"a latex outfit smiles and says , ``"
42,"smiles and says , `` Hi , I"
42,", `` Hi , I here to give"
42,", I here to give you super sex"
42,to give you super sex ! '' The
42,super sex ! '' The old man says
42,"'' The old man says , `` I"
42,"man says , `` I 'll take the"
42,`` I 'll take the soup . ''
43,There was an engineer who had an exceptional
43,engineer who had an exceptional gift for fixing
43,an exceptional gift for fixing all things mechanical
43,for fixing all things mechanical . After serving
43,things mechanical . After serving his company loyally
43,After serving his company loyally for over 30
43,"company loyally for over 30 years , he"
43,"over 30 years , he happily retired ."
43,", he happily retired . Several years later"
43,retired . Several years later the company contacted
43,years later the company contacted him regarding a
43,company contacted him regarding a seemingly impossible problem
43,regarding a seemingly impossible problem they were having
43,impossible problem they were having with one of
43,were having with one of their multi-million dollar
43,one of their multi-million dollar machines . They
43,multi-million dollar machines . They had tried everything
43,. They had tried everything and everyone else
43,tried everything and everyone else to get the
43,"everyone else to get the machine fixed ,"
43,"get the machine fixed , but to no"
43,"fixed , but to no avail . In"
43,"to no avail . In desperation , they"
43,". In desperation , they called on the"
43,", they called on the retired engineer who"
43,on the retired engineer who had solved so
43,engineer who had solved so many of their
43,solved so many of their problems in the
43,of their problems in the past . The
43,in the past . The engineer reluctantly took
43,. The engineer reluctantly took the challenge .
43,reluctantly took the challenge . He spent a
43,challenge . He spent a day studying the
43,spent a day studying the huge machine .
43,studying the huge machine . At the end
43,machine . At the end of the day
43,"the end of the day , he marked"
43,"the day , he marked a small ``"
43,he marked a small `` x '' in
43,small `` x '' in chalk on a
43,'' in chalk on a particular component of
43,on a particular component of the machine and
43,"component of the machine and proudly stated ,"
43,"machine and proudly stated , `` This is"
43,"stated , `` This is where your problem"
43,This is where your problem is '' .
43,your problem is '' . The part was
43,'' . The part was replaced and the
43,part was replaced and the machine worked perfectly
43,and the machine worked perfectly again . The
43,worked perfectly again . The company received a
43,. The company received a bill for $
43,"received a bill for $ 50,000 from the"
43,"for $ 50,000 from the engineer for his"
43,from the engineer for his service.They demanded an
43,for his service.They demanded an itemized accounting of
43,demanded an itemized accounting of his charges .
43,accounting of his charges . The engineer responded
43,charges . The engineer responded briefly : One
43,engineer responded briefly : One chalk mark $
43,: One chalk mark $ 1 Knowing where
43,mark $ 1 Knowing where to put it
43,"Knowing where to put it $ 49,999 It"
43,"put it $ 49,999 It was paid in"
43,"49,999 It was paid in full and the"
43,paid in full and the engineer retired again
43,and the engineer retired again in peace .
44,"The graduate with a Science degree asks ,"
44,"a Science degree asks , `` Why does"
44,"asks , `` Why does it work ?"
44,Why does it work ? '' The graduate
44,work ? '' The graduate with an Engineering
44,"The graduate with an Engineering degree asks ,"
44,"an Engineering degree asks , `` How does"
44,"asks , `` How does it work ?"
44,How does it work ? '' The graduate
44,work ? '' The graduate with an Accounting
44,"The graduate with an Accounting degree Asks ,"
44,"an Accounting degree Asks , `` How much"
44,"Asks , `` How much will it cost"
44,How much will it cost ? '' The
44,it cost ? '' The graduate with a
44,'' The graduate with a Liberal Arts degree
44,"with a Liberal Arts degree asks , ``"
44,"Arts degree asks , `` Do you want"
44,", `` Do you want fries with that"
45,Three engineering students were gathered together discussing the
45,were gathered together discussing the possible designers of
45,discussing the possible designers of the human body
45,designers of the human body . One said
45,"human body . One said , `` It"
45,"One said , `` It was a mechanical"
45,`` It was a mechanical engineer . Just
45,a mechanical engineer . Just look at all
45,. Just look at all the joints .
45,at all the joints . '' Another said
45,"joints . '' Another said , `` No"
45,"Another said , `` No , it was"
45,"`` No , it was an electrical engineer"
45,it was an electrical engineer . The nervous
45,electrical engineer . The nervous systems many thousands
45,The nervous systems many thousands of electrical connections
45,many thousands of electrical connections . '' The
45,"electrical connections . '' The last said ,"
45,"'' The last said , `` Actually it"
45,"said , `` Actually it was a civil"
45,Actually it was a civil engineer . Who
45,a civil engineer . Who else would run
45,. Who else would run a toxic waste
45,would run a toxic waste pipeline through a
45,toxic waste pipeline through a recreational area ?
46,Q . What 's O. J. Simpson 's
46,'s O. J. Simpson 's Internet address ?
46,Simpson 's Internet address ? A . Slash
46,"address ? A . Slash , slash ,"
46,". Slash , slash , backslash , slash"
46,"slash , backslash , slash , slash ,"
47,A guy goes into confession and says to
47,"into confession and says to the priest ,"
47,"says to the priest , `` Father ,"
47,"priest , `` Father , I 'm 80"
47,"Father , I 'm 80 years old ,"
47,"'m 80 years old , widower , with"
47,"old , widower , with 11 grandchildren ."
47,", with 11 grandchildren . Last night I"
47,grandchildren . Last night I met two beautiful
47,night I met two beautiful flight attendants .
47,two beautiful flight attendants . They took me
47,attendants . They took me home and I
47,took me home and I made love to
47,and I made love to both of them
47,love to both of them . Twice .
47,of them . Twice . '' The priest
47,Twice . '' The priest said : ``
47,"The priest said : `` Well , my"
47,": `` Well , my son , when"
47,", my son , when was the last"
47,", when was the last time you were"
47,the last time you were in confession ?
47,you were in confession ? '' `` Never
